PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,MONTH
26402.00,29243.00,207457.00,337.00,UA,19977,United Air Lines Inc.,0A875,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,1
26405.00,5368.00,0.00,631.00,AA,19805,American Airlines Inc.,0A050,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
26421.00,54316.00,40511.00,1045.00,AA,19805,American Airlines Inc.,0A050,14843,1484306,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,1
26439.00,9321.00,0.00,631.00,AA,19805,American Airlines Inc.,0A050,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,1
26459.00,13459.00,0.00,304.00,WN,19393,Southwest Airlines Co.,06725,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,14679,1467903,33570,SAN,"San Diego, CA",CA,06,California,91,1
26546.00,27462.00,48919.00,728.00,AA,19805,American Airlines Inc.,0A050,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1
26593.00,77462.00,71387.00,1045.00,AA,19805,American Airlines Inc.,0A050,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,14843,1484306,34819,SJU,"San Juan, PR",PR,72,Puerto Rico,3,1
26661.00,105680.00,0.00,1521.00,WN,19393,Southwest Airlines Co.,06725,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,1
26722.00,27316.00,0.00,259.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10994,1099402,30994,CHS,"Charleston, SC",SC,45,South Carolina,37,1
26731.00,10471.00,0.00,444.00,DL,19790,Delta Air Lines Inc.,01260,14986,1498603,34986,SRQ,"Sarasota/Bradenton, FL",FL,12,Florida,33,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
26805.00,11641.00,85157.00,1127.00,DL,19790,Delta Air Lines Inc.,01260,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1
26836.00,21902.00,0.00,516.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,1
26899.00,403514.00,5435.00,2419.00,UA,19977,United Air Lines Inc.,0A875,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,1
26924.00,8895.00,0.00,516.00,DL,19790,Delta Air Lines Inc.,01260,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
26941.00,41653.00,0.00,1067.00,WN,19393,Southwest Airlines Co.,06725,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1
26972.00,576212.00,125944.00,760.00,DL,19790,Delta Air Lines Inc.,01260,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
26973.00,6041.00,5984.00,733.00,AA,19805,American Airlines Inc.,0A050,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1
27000.00,19486.00,0.00,446.00,WN,19393,Southwest Airlines Co.,06725,14679,1467903,33570,SAN,"San Diego, CA",CA,06,California,91,13796,1379609,32457,OAK,"Oakland, CA",CA,06,California,91,1
27004.00,143110.00,50200.00,2182.00,DL,19790,Delta Air Lines Inc.,01260,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
27076.00,0.00,0.00,861.00,F9,20436,Frontier Airlines Inc.,06460,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,1
27076.00,54124.00,38111.00,606.00,DL,19790,Delta Air Lines Inc.,01260,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
27131.00,0.00,0.00,861.00,F9,20436,Frontier Airlines Inc.,06460,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1
27173.00,44322.00,0.00,651.00,WN,19393,Southwest Airlines Co.,06725,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,11292,1129202,30325,DEN,"Denver, CO",CO,08,Colorado,82,1
27233.00,62.00,7517.00,813.00,DL,19790,Delta Air Lines Inc.,01260,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
27236.00,91156.00,35382.00,746.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1
